team_id,total_score,num_games,wins,losses,power,overall_rank,recent_opponent_1,recent_opponent_2,recent_opponent_3,recent_opponent_4,recent_opponent_5,div_rank,last_rank
Intermountain Christian UT,0,0,0,1,286.786851,-1,162,162,162,162,162,-1,0
Moffat County JV,0,0,0,0,286.72185,-1,0,0,0,0,0,-1,0
Sand Creek,0,0,7,16,285.9681645,226,99,89,639,91,81,52,0
Campion,0,0,14,5,285.0466202,227,202,1326,1327,1320,969,28,0
Grand Valley,0,0,7,15,284.8570654,228,182,163,240,162,159,34,0
Holly,0,0,6,16,284.3726122,229,246,288,165,286,305,27,0
Hayden,0,0,10,9,283.767176,230,256,182,183,417,303,29,0
Steamboat Springs,0,0,7,16,283.2016176,231,156,121,116,119,240,34,0
La Junta,0,0,11,13,283.173827,232,108,708,100,76,100,35,0
Weldon Valley,0,0,10,14,283.0787581,233,276,319,281,285,282,28,0
Westwood AZ,0,0,0,2,282.8223877,-1,74,31,74,31,74,-1,0
Imperial NE,0,0,0,0,282.27588,-1,0,0,0,0,0,-1,0
Lyons,0,0,16,7,282.0921195,234,163,367,645,141,134,35,0
Trinidad,0,0,10,12,282.0034144,235,191,272,200,198,271,30,0
Banning Lewis,0,0,6,17,281.8034357,236,102,154,166,1152,97,36,0
Wiley,0,0,6,15,281.6910777,237,297,1212,289,520,153,29,0
Venture Prep,0,0,0,0,281.66541,-1,0,0,0,0,0,-1,0
Prospect Ridge,0,0,5,17,281.3908281,238,720,510,135,594,138,36,0
Goodwell KS,0,0,0,0,281.21631,-1,0,0,0,0,0,-1,0
Garden County NE,0,0,0,0,281.1987,-1,0,0,0,0,0,-1,0
Elizabeth,0,0,7,16,280.8120468,239,649,88,594,81,445,37,0
La Veta,0,0,9,10,280.7608835,240,268,193,520,250,200,30,0
Jefferson,0,0,14,8,280.6438092,241,1309,672,357,110,54,37,0
Rifle,0,0,3,20,280.5789918,242,122,119,156,723,158,38,0
Denver Science-Byers,0,0,0,0,280.50589,-1,0,0,0,0,0,-1,0
Edison,0,0,0,0,280.14723,-1,0,0,0,0,0,-1,0
Gateway,0,0,11,12,279.8924177,243,68,13,25,68,72,53,0
Woodlin,0,0,0,0,279.80752,-1,0,0,0,0,0,-1,0
Mesa Ridge Jv,0,0,0,0,278.95416,-1,0,0,0,0,0,-1,0
Creede,0,0,13,11,278.908775,244,280,200,272,199,194,31,0
