id,home_team_id,visitor_team_id,original_home_score,original_visitor_score,home_z_score,visitor_z_score,week_id,flagged,invalid,home_field_advantage
45240,Eastern Univ,Misericordia,31,10,1.537687012,-1.537687012,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45232,Edinboro,Seton Hill,24,22,0.857296863,-0.857296863,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45409,Eliz. City St,Bowie St,6,48,-1.521147476,1.521147476,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45098,Elon,Campbell,50,27,1.599200125,-1.599200125,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45370,Emporia St,Fort Hays St,7,36,-2.841273977,2.841273977,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45149,Endicott,Nichols,50,10,-0.732294853,0.732294853,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45385,Erskine,West Florida,0,70,-0.675405062,0.675405062,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45369,Evangel,McPherson,27,34,-2.392268395,2.392268395,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45285,FL Atlantic,South Florida,21,44,-1.39967144,1.39967144,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45120,FL Memorial,Thomas GA,75,21,0.685643729,-0.685643729,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45201,Fairmont St,Concord,34,19,-0.642318693,0.642318693,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45258,Findlay,Walsh,28,17,-0.426338496,0.426338496,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45428,Florida,Georgia,20,34,-0.056222521,0.056222521,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,FALSE
45119,Florida A&M,TX Southern,52,28,0.360390688,-0.360390688,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45086,Florida Intl,New Mexico St,34,13,1.75579981,-1.75579981,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45359,Florida St,North Carolina,11,35,-1.925270901,1.925270901,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45199,Fordham,Colgate,20,14,2.295725005,-2.295725005,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45121,Fort Valley St,Benedict,44,20,0.358554075,-0.358554075,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45405,Framingham St,Plymouth St,20,41,-0.879328363,0.879328363,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45122,Franklin,Anderson IN,35,14,-0.939892991,0.939892991,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45390,Franklin Pierce,St Anselm,28,42,-2.90787546,2.90787546,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45303,Fresno St,Hawaii,20,21,-2.173939573,2.173939573,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45248,Friends,Bethel KS,28,0,-0.027249976,0.027249976,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45306,Gannon,Indiana PA,7,35,-1.486359734,1.486359734,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45362,Georgetown,Lehigh,6,43,-2.253801923,2.253801923,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45239,Georgetown KY,Cumberlands KY,19,16,-0.544968804,0.544968804,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45272,Graceland,St Ambrose,28,23,-1.035848245,1.035848245,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45214,Grand Valley St,Wayne St MI,51,28,-0.47783196,0.47783196,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45127,Grand View,William Penn,42,6,-0.159881999,0.159881999,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45380,Greensboro,NC Wesleyan,21,23,-0.431975463,0.431975463,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45236,Greenville,Westminster MO,45,7,0.060980713,-0.060980713,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45391,Grinnell,Illinois Col,14,56,-0.312245148,0.312245148,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
45298,Guilford,Ferrum,7,20,-0.826937652,0.826937652,"Game Set 11.1, 2024 College Mens Football",FALSE,FALSE,TRUE
